Timeseries,WaterLevel,Capacity,Delta,Interval,FreeSpillway.FS1.edc4d650-578c-4acf-8c8c-7f0f4f672462,GatedSpillway.GS1.ccb4bb68-1a7e-4e73-a5a3-178763e09e7e,CircularCulvert.CC1.8dff0bb6-d821-46ee-adb0-48bab2fe54c5,CircularCulvertV2.CC2.f06e69a8-1417-47ce-a620-7afd4a384f4f,BoxCulvert.BC1.2aa5c0eb-b285-486f-aa1d-62816ab316fe,Pump.P1.5b8e3e58-f4e2-43c7-9ac6-c531abe4e4ce,Unknown.U1.3c240cde-0cad-4ae9-86a2-c97e43d32415,Inflow,Outflow
2022-12-07,108.7,2.368,-0.0050000000000003375,86400,0.0,0.0,3.853527173901854,0.12588865815350794,0.10189368538959609,11.07,11.07,26.16343914707458,26.221309517444958
2022-12-08,108.7,2.368,0.0,86400,0.0,0.0,3.853527173901854,0.12588865815350794,0.9087991305753331,0.0,0.0,4.888214962630695,4.888214962630695
2022-12-09,108.68,2.363,-0.004999999999999893,86400,0.0,0.0,3.8469230093673596,0.12568544791908418,0.7381853853898638,2.03,2.03,8.712923472305937,8.770793842676307
2022-12-10,108.67,2.36,-0.0030000000000001137,86400,0.0,0.0,3.8436166718339653,0.12558371949455002,0.9010771305562452,0.0,0.0,4.835555299662537,4.87027752188476
2022-12-11,108.66,2.357,-0.0029999999999996696,86400,0.0,0.0,3.840307487688974,0.12548190859861363,0.897876531310351,0.0,0.0,4.828943705375721,4.863665927597939
2022-12-12,108.66,2.357,0.0,86400,0.0,0.0,3.840307487688974,0.12548190859861363,0.7332867527511029,0.0,0.0,4.6990761490386905,4.6990761490386905
2022-12-13,108.65,2.354,-0.0030000000000001137,86400,0.0,0.0,3.8369954495672807,0.12538001503037022,0.9312391404831896,0.0,0.0,4.858892382858616,4.89361460508084
2022-12-14,108.64,2.352,-0.002000000000000224,86400,0.0,0.0,3.8336805500719544,0.12527803858809758,0.043768518451063984,0.0,0.0,3.9795789589629647,4.002727107111116
2022-12-15,108.63,2.349,-0.0029999999999996696,86400,0.0,0.0,3.8303627817740695,0.1251759790692522,0.2037172716404201,0.0,0.0,4.124533810261524,4.159256032483742
2022-12-16,108.62,2.346,-0.0030000000000001137,86400,0.0,0.0,3.8270421372124996,0.12507383627046428,0.9768994504400453,0.0,0.0,4.894293201700785,4.929015423923009
2022-12-17,108.61,2.344,-0.002000000000000224,86400,0.0,0.0,3.823718608893704,0.1249716099875324,0.6056445014058414,0.0,0.0,4.531186572138927,4.554334720287078
2022-12-18,108.6,2.341,-0.0029999999999996696,86400,0.0,0.0,3.8203921892915638,0.12486930001541977,0.006491296966044327,0.0,0.0,3.91703056405081,3.951752786273028
2022-12-19,108.59,2.339,-0.002000000000000224,86400,0.0,0.0,3.8170628708471663,0.1247669061482489,0.7385324294863729,0.0,0.0,4.657214058333637,4.680362206481789
2022-12-20,108.58,2.336,-0.0030000000000001137,86400,0.0,0.0,3.81373064596859,0.1246644281792964,0.3030188190034444,0.0,0.0,4.206691670929107,4.24141389315133
2022-12-21,108.58,2.336,0.0,86400,0.0,0.0,3.93191202343084,0.0,0.9198875073050462,0.0,0.0,4.851799530735886,4.851799530735886
